GRB,z,α,a_err,B,B_err,Fluence,Fluence_err,Range,Epeak,Epeak_err,Eiso,Eiso_err,Ref
060218b,0.0331,−1.62,0.16,,,3.7e–6,0.37e–6,15–150,4.9,0.3,7.7e49,1.42e49,29 (31)
020903b,0.25,−1.00,0.0,,,5.9e-8,1.4e-8,2-10,3.37,1.79,1.8e49,0.31e49,9
